ball,metric,speed,club,value
Bridgestone TOUR B RX,Launch Angle,mid,driver,12.02
Vice Pro Air,Launch Angle,mid,driver,12.25
Titleist TruFeel,Launch Angle,mid,driver,12.46
TaylorMade Tour Response,Launch Angle,mid,driver,12.37
Titleist AVX,Launch Angle,mid,driver,12.34
TaylorMade SpeedSoft,Launch Angle,mid,driver,12.63
Maxfli Tour S,Launch Angle,mid,driver,12.35
Srixon Q-STAR ULTISPEED,Launch Angle,mid,driver,12.36
Callaway ERC Soft,Launch Angle,mid,driver,12.22
Callaway Chrome Soft,Launch Angle,mid,driver,12.4
Mizuno Pro X,Launch Angle,mid,driver,12.25
Titleist Velocity,Launch Angle,mid,driver,12.48
Titleist Pro V1,Launch Angle,mid,driver,12.29
Titleist Tour Soft,Launch Angle,mid,driver,12.3
PXG Xtreme Tour X,Launch Angle,mid,driver,12.06
Callaway Chrome Tour,Launch Angle,mid,driver,12.16
Titleist Pro V1x,Launch Angle,mid,driver,12.16
Callaway Chrome Tour X,Launch Angle,mid,driver,12.08
Titleist Pro V1x Left Dash,Launch Angle,mid,driver,12.15
Mizuno Pro S,Launch Angle,mid,driver,12.14
PXG Xtreme Tour,Launch Angle,mid,driver,12.36
Srixon Z-STAR DIAMOND,Launch Angle,mid,driver,11.97
Maxfli Tour X,Launch Angle,mid,driver,12.34
Bridgestone TOUR B X,Launch Angle,mid,driver,11.86
Wilson Staff Model,Launch Angle,mid,driver,12.21
Maxfli Tour,Launch Angle,mid,driver,12.17
Srixon Q-STAR TOUR,Launch Angle,mid,driver,12.34
Srixon Z-STAR XV,Launch Angle,mid,driver,12.03
Callaway Chrome Tour Triple Diamond,Launch Angle,mid,driver,12.17
Kirkland Performance+ v3.5,Launch Angle,mid,driver,12.42
Bridgestone TOUR B XS,Launch Angle,mid,driver,11.94
Vice Pro,Launch Angle,mid,driver,12.28
Wilson Staff Model X,Launch Angle,mid,driver,11.87
TaylorMade TP5x,Launch Angle,mid,driver,12.24
Vice Pro Plus,Launch Angle,mid,driver,12.08
Srixon Z-STAR,Launch Angle,mid,driver,11.98
Member's Mark Pro Series 2,Launch Angle,mid,driver,12.09
TaylorMade TP5,Launch Angle,mid,driver,11.86
Srixon Z-STAR DIVIDE,Launch Angle,mid,driver,12.32
Callaway Supersoft,Ball Speed,mid,driver,146.89
Srixon SOFT FEEL,Ball Speed,mid,driver,146.68
Pinnacle Rush,Ball Speed,mid,driver,148.4
Bridgestone TOUR B RXS,Ball Speed,mid,driver,147.58
Wilson Triad,Ball Speed,mid,driver,148.3
Bridgestone TOUR B RX,Ball Speed,mid,driver,148.5
Vice Pro Air,Ball Speed,mid,driver,147.45
Titleist TruFeel,Ball Speed,mid,driver,148.3
TaylorMade Tour Response,Ball Speed,mid,driver,148.16
Titleist AVX,Ball Speed,mid,driver,149.09
TaylorMade SpeedSoft,Ball Speed,mid,driver,146.46
Maxfli Tour S,Ball Speed,mid,driver,148.3
Srixon Q-STAR ULTISPEED,Ball Speed,mid,driver,149.09
Callaway ERC Soft,Ball Speed,mid,driver,148.9
Callaway Chrome Soft,Ball Speed,mid,driver,148.33
Mizuno Pro X,Ball Speed,mid,driver,150.01
Titleist Velocity,Ball Speed,mid,driver,149.38
Titleist Pro V1,Ball Speed,mid,driver,149.78
Titleist Tour Soft,Ball Speed,mid,driver,149.52
PXG Xtreme Tour X,Ball Speed,mid,driver,149.89
Callaway Chrome Tour,Ball Speed,mid,driver,149.31
Titleist Pro V1x,Ball Speed,mid,driver,149.82
Callaway Chrome Tour X,Ball Speed,mid,driver,149.92
Titleist Pro V1x Left Dash,Ball Speed,mid,driver,149.91
Mizuno Pro S,Ball Speed,mid,driver,148.95
PXG Xtreme Tour,Ball Speed,mid,driver,149.65
Srixon Z-STAR DIAMOND,Ball Speed,mid,driver,149.4
Maxfli Tour X,Ball Speed,mid,driver,150.37
Bridgestone TOUR B X,Ball Speed,mid,driver,149.22
Wilson Staff Model,Ball Speed,mid,driver,149.9
Maxfli Tour,Ball Speed,mid,driver,149.23
Srixon Q-STAR TOUR,Ball Speed,mid,driver,147.67
Srixon Z-STAR XV,Ball Speed,mid,driver,149.7
Callaway Chrome Tour Triple Diamond,Ball Speed,mid,driver,150.47
Kirkland Performance+ v3.5,Ball Speed,mid,driver,149.22
Bridgestone TOUR B XS,Ball Speed,mid,driver,148.73
Vice Pro,Ball Speed,mid,driver,148.51
Wilson Staff Model X,Ball Speed,mid,driver,150.27
TaylorMade TP5x,Ball Speed,mid,driver,149.16
Vice Pro Plus,Ball Speed,mid,driver,149.3
Srixon Z-STAR,Ball Speed,mid,driver,148.89
Member's Mark Pro Series 2,Ball Speed,mid,driver,149.6
TaylorMade TP5,Ball Speed,mid,driver,148.59
Srixon Z-STAR DIVIDE,Ball Speed,mid,driver,149.02
TaylorMade SpeedSoft,Total,mid,mid-iron,155.56
Bridgestone TOUR B XS,Total,mid,mid-iron,154.96
TaylorMade TP5,Total,mid,mid-iron,158.83
Vice Pro,Total,mid,mid-iron,160.15
Srixon Q-STAR ULTISPEED,Total,mid,mid-iron,155.76
Bridgestone TOUR B X,Total,mid,mid-iron,153.95
Pinnacle Rush,Total,mid,mid-iron,161.1
Titleist Velocity,Total,mid,mid-iron,156.34
TaylorMade Tour Response,Total,mid,mid-iron,157.01
Wilson Staff Model X,Total,mid,mid-iron,152.93
Titleist Pro V1,Total,mid,mid-iron,155.95
Vice Pro Plus,Total,mid,mid-iron,154.34
Callaway ERC Soft,Total,mid,mid-iron,158.17
Srixon SOFT FEEL,Total,mid,mid-iron,155.1
PXG Xtreme Tour,Total,mid,mid-iron,156.88
Callaway Chrome Tour X,Total,mid,mid-iron,157.94
Callaway Supersoft,Total,mid,mid-iron,160.29
Titleist TruFeel,Total,mid,mid-iron,150.98
Srixon Z-STAR DIAMOND,Total,mid,mid-iron,150.6
Titleist Tour Soft,Total,mid,mid-iron,148.99
Srixon Z-STAR,Total,mid,mid-iron,154.27
Callaway Chrome Tour Triple Diamond,Total,mid,mid-iron,153.05
Wilson Staff Model,Total,mid,mid-iron,156.11
Maxfli Tour S,Total,mid,mid-iron,156.98
Titleist Pro V1x Left Dash,Total,mid,mid-iron,151.25
Kirkland Performance+ v3.5,Total,mid,mid-iron,152.16
Wilson Triad,Total,mid,mid-iron,152.45
PXG Xtreme Tour X,Total,mid,mid-iron,152.65
Maxfli Tour X,Total,mid,mid-iron,155.43
TaylorMade TP5x,Total,mid,mid-iron,154.65
Bridgestone TOUR B RX,Total,mid,mid-iron,151.93
Maxfli Tour,Total,mid,mid-iron,152.87
Bridgestone TOUR B RXS,Total,mid,mid-iron,148.63
Titleist Pro V1x,Total,mid,mid-iron,153.93
Srixon Z-STAR XV,Total,mid,mid-iron,153.53
Callaway Chrome Tour,Total,mid,mid-iron,154.51
Srixon Q-STAR TOUR,Total,mid,mid-iron,147.75
Vice Pro Air,Total,mid,mid-iron,149.98
Member's Mark Pro Series 2,Total,mid,mid-iron,148.63
Srixon Z-STAR DIVIDE,Total,mid,mid-iron,147.55
Titleist AVX,Total,mid,mid-iron,150.24
Callaway Chrome Soft,Total,mid,mid-iron,149.82
Mizuno Pro S,Total,mid,mid-iron,148.37
Mizuno Pro X,Total,mid,mid-iron,151.08
TaylorMade SpeedSoft,Carry,mid,mid-iron,144.95
Bridgestone TOUR B XS,Carry,mid,mid-iron,146.02
TaylorMade TP5,Carry,mid,mid-iron,149.17
Vice Pro,Carry,mid,mid-iron,150.39
Srixon Q-STAR ULTISPEED,Carry,mid,mid-iron,145.6
Bridgestone TOUR B X,Carry,mid,mid-iron,144.58
Pinnacle Rush,Carry,mid,mid-iron,150.69
Titleist Velocity,Carry,mid,mid-iron,146.29
TaylorMade Tour Response,Carry,mid,mid-iron,147.24
Wilson Staff Model X,Carry,mid,mid-iron,145.27
Titleist Pro V1,Carry,mid,mid-iron,146.89
Vice Pro Plus,Carry,mid,mid-iron,145.35
Callaway ERC Soft,Carry,mid,mid-iron,147.64
Srixon SOFT FEEL,Carry,mid,mid-iron,146.27
PXG Xtreme Tour,Carry,mid,mid-iron,148.77
Callaway Chrome Tour X,Carry,mid,mid-iron,149.05
Callaway Supersoft,Carry,mid,mid-iron,150.29
Titleist TruFeel,Carry,mid,mid-iron,142.12
Srixon Z-STAR DIAMOND,Carry,mid,mid-iron,143.81
Titleist Tour Soft,Carry,mid,mid-iron,141.26
Srixon Z-STAR,Carry,mid,mid-iron,146.06
Callaway Chrome Tour Triple Diamond,Carry,mid,mid-iron,144.38
Wilson Staff Model,Carry,mid,mid-iron,147.03
Maxfli Tour S,Carry,mid,mid-iron,147.89
Titleist Pro V1x Left Dash,Carry,mid,mid-iron,142.69
Kirkland Performance+ v3.5,Carry,mid,mid-iron,143.95
Wilson Triad,Carry,mid,mid-iron,144.0
PXG Xtreme Tour X,Carry,mid,mid-iron,144.23
Maxfli Tour X,Carry,mid,mid-iron,146.67
TaylorMade TP5x,Carry,mid,mid-iron,145.08
Bridgestone TOUR B RX,Carry,mid,mid-iron,144.23
Maxfli Tour,Carry,mid,mid-iron,145.65
Bridgestone TOUR B RXS,Carry,mid,mid-iron,141.84
Titleist Pro V1x,Carry,mid,mid-iron,144.44
Srixon Z-STAR XV,Carry,mid,mid-iron,144.56
Callaway Chrome Tour,Carry,mid,mid-iron,147.24
Srixon Q-STAR TOUR,Carry,mid,mid-iron,141.52
Vice Pro Air,Carry,mid,mid-iron,142.37
Member's Mark Pro Series 2,Carry,mid,mid-iron,141.35
Srixon Z-STAR DIVIDE,Carry,mid,mid-iron,140.85
Titleist AVX,Carry,mid,mid-iron,143.53
Callaway Chrome Soft,Carry,mid,mid-iron,142.76
Mizuno Pro S,Carry,mid,mid-iron,141.26
Mizuno Pro X,Carry,mid,mid-iron,143.2
TaylorMade SpeedSoft,Descent Angle,mid,mid-iron,41.67
Bridgestone TOUR B XS,Descent Angle,mid,mid-iron,42.3
TaylorMade TP5,Descent Angle,mid,mid-iron,42.49
Vice Pro,Descent Angle,mid,mid-iron,42.57
Srixon Q-STAR ULTISPEED,Descent Angle,mid,mid-iron,42.7
Bridgestone TOUR B X,Descent Angle,mid,mid-iron,42.85
Pinnacle Rush,Descent Angle,mid,mid-iron,42.87
Titleist Velocity,Descent Angle,mid,mid-iron,43.32
TaylorMade Tour Response,Descent Angle,mid,mid-iron,43.41
Wilson Staff Model X,Descent Angle,mid,mid-iron,43.48
Titleist Pro V1,Descent Angle,mid,mid-iron,43.6
Vice Pro Plus,Descent Angle,mid,mid-iron,43.87
Callaway ERC Soft,Descent Angle,mid,mid-iron,44.0
Srixon SOFT FEEL,Descent Angle,mid,mid-iron,44.1
PXG Xtreme Tour,Descent Angle,mid,mid-iron,44.16
Callaway Chrome Tour X,Descent Angle,mid,mid-iron,44.17
Callaway Supersoft,Descent Angle,mid,mid-iron,44.24
Titleist TruFeel,Descent Angle,mid,mid-iron,44.28
Srixon Z-STAR DIAMOND,Descent Angle,mid,mid-iron,44.36
Titleist Tour Soft,Descent Angle,mid,mid-iron,44.4
Srixon Z-STAR,Descent Angle,mid,mid-iron,44.53
Callaway Chrome Tour Triple Diamond,Descent Angle,mid,mid-iron,44.65
Wilson Staff Model,Descent Angle,mid,mid-iron,44.83
Maxfli Tour S,Descent Angle,mid,mid-iron,44.94
Titleist Pro V1x Left Dash,Descent Angle,mid,mid-iron,44.99
Kirkland Performance+ v3.5,Descent Angle,mid,mid-iron,45.0
Wilson Triad,Descent Angle,mid,mid-iron,45.08
PXG Xtreme Tour X,Descent Angle,mid,mid-iron,45.36
Maxfli Tour X,Descent Angle,mid,mid-iron,45.66
TaylorMade TP5x,Descent Angle,mid,mid-iron,45.68
Bridgestone TOUR B RX,Descent Angle,mid,mid-iron,45.81
Maxfli Tour,Descent Angle,mid,mid-iron,45.99
Bridgestone TOUR B RXS,Descent Angle,mid,mid-iron,46.12
Titleist Pro V1x,Descent Angle,mid,mid-iron,46.41
Srixon Z-STAR XV,Descent Angle,mid,mid-iron,46.54
Callaway Chrome Tour,Descent Angle,mid,mid-iron,46.63
Srixon Q-STAR TOUR,Descent Angle,mid,mid-iron,46.77
Vice Pro Air,Descent Angle,mid,mid-iron,46.81
Member's Mark Pro Series 2,Descent Angle,mid,mid-iron,47.04
Srixon Z-STAR DIVIDE,Descent Angle,mid,mid-iron,47.09
Titleist AVX,Descent Angle,mid,mid-iron,47.4
Callaway Chrome Soft,Descent Angle,mid,mid-iron,47.51
Mizuno Pro S,Descent Angle,mid,mid-iron,47.78
Mizuno Pro X,Descent Angle,mid,mid-iron,48.37
TaylorMade SpeedSoft,Max Height,mid,mid-iron,70.88
Bridgestone TOUR B XS,Max Height,mid,mid-iron,72.03
TaylorMade TP5,Max Height,mid,mid-iron,74.4
Vice Pro,Max Height,mid,mid-iron,75.29
Srixon Q-STAR ULTISPEED,Max Height,mid,mid-iron,73.37
Bridgestone TOUR B X,Max Height,mid,mid-iron,73.58
Pinnacle Rush,Max Height,mid,mid-iron,75.71
Titleist Velocity,Max Height,mid,mid-iron,75.86
TaylorMade Tour Response,Max Height,mid,mid-iron,77.32
Wilson Staff Model X,Max Height,mid,mid-iron,74.83
Titleist Pro V1,Max Height,mid,mid-iron,75.58
Vice Pro Plus,Max Height,mid,mid-iron,76.81
Callaway ERC Soft,Max Height,mid,mid-iron,76.76
Srixon SOFT FEEL,Max Height,mid,mid-iron,76.21
PXG Xtreme Tour,Max Height,mid,mid-iron,76.28
Callaway Chrome Tour X,Max Height,mid,mid-iron,75.86
Callaway Supersoft,Max Height,mid,mid-iron,80.22
Titleist TruFeel,Max Height,mid,mid-iron,74.66
Srixon Z-STAR DIAMOND,Max Height,mid,mid-iron,74.54
Titleist Tour Soft,Max Height,mid,mid-iron,73.68
Srixon Z-STAR,Max Height,mid,mid-iron,76.5
Callaway Chrome Tour Triple Diamond,Max Height,mid,mid-iron,76.94
Wilson Staff Model,Max Height,mid,mid-iron,78.17
Maxfli Tour S,Max Height,mid,mid-iron,78.74
Titleist Pro V1x Left Dash,Max Height,mid,mid-iron,76.68
Kirkland Performance+ v3.5,Max Height,mid,mid-iron,76.32
Wilson Triad,Max Height,mid,mid-iron,75.78
PXG Xtreme Tour X,Max Height,mid,mid-iron,77.6
Maxfli Tour X,Max Height,mid,mid-iron,80.0
TaylorMade TP5x,Max Height,mid,mid-iron,80.48
Bridgestone TOUR B RX,Max Height,mid,mid-iron,79.02
Maxfli Tour,Max Height,mid,mid-iron,77.31
Bridgestone TOUR B RXS,Max Height,mid,mid-iron,78.62
Titleist Pro V1x,Max Height,mid,mid-iron,80.23
Srixon Z-STAR XV,Max Height,mid,mid-iron,79.02
Callaway Chrome Tour,Max Height,mid,mid-iron,81.0
Srixon Q-STAR TOUR,Max Height,mid,mid-iron,78.03
Vice Pro Air,Max Height,mid,mid-iron,79.8
Member's Mark Pro Series 2,Max Height,mid,mid-iron,79.92
Srixon Z-STAR DIVIDE,Max Height,mid,mid-iron,78.35
Titleist AVX,Max Height,mid,mid-iron,80.6
Callaway Chrome Soft,Max Height,mid,mid-iron,80.45
Mizuno Pro S,Max Height,mid,mid-iron,80.47
Mizuno Pro X,Max Height,mid,mid-iron,82.04
TaylorMade SpeedSoft,Spin,mid,mid-iron,6159.0
Bridgestone TOUR B XS,Spin,mid,mid-iron,6559.0
TaylorMade TP5,Spin,mid,mid-iron,6106.0
Vice Pro,Spin,mid,mid-iron,6041.0
Srixon Q-STAR ULTISPEED,Spin,mid,mid-iron,6069.0
Bridgestone TOUR B X,Spin,mid,mid-iron,6354.0
Pinnacle Rush,Spin,mid,mid-iron,5844.0
Titleist Velocity,Spin,mid,mid-iron,6197.0
TaylorMade Tour Response,Spin,mid,mid-iron,5594.0
Wilson Staff Model X,Spin,mid,mid-iron,6644.0
Titleist Pro V1,Spin,mid,mid-iron,6315.0
Vice Pro Plus,Spin,mid,mid-iron,6016.0
Callaway ERC Soft,Spin,mid,mid-iron,5449.0
Srixon SOFT FEEL,Spin,mid,mid-iron,5841.0
PXG Xtreme Tour,Spin,mid,mid-iron,6034.0
Callaway Chrome Tour X,Spin,mid,mid-iron,6634.0
Callaway Supersoft,Spin,mid,mid-iron,5455.0
Titleist TruFeel,Spin,mid,mid-iron,6149.0
Srixon Z-STAR DIAMOND,Spin,mid,mid-iron,6735.0
Titleist Tour Soft,Spin,mid,mid-iron,6775.0
Srixon Z-STAR,Spin,mid,mid-iron,6539.0
Callaway Chrome Tour Triple Diamond,Spin,mid,mid-iron,6240.0
Wilson Staff Model,Spin,mid,mid-iron,6146.0
Maxfli Tour S,Spin,mid,mid-iron,5628.0
Titleist Pro V1x Left Dash,Spin,mid,mid-iron,5971.0
Kirkland Performance+ v3.5,Spin,mid,mid-iron,6352.0
Wilson Triad,Spin,mid,mid-iron,6137.0
PXG Xtreme Tour X,Spin,mid,mid-iron,6226.0
Maxfli Tour X,Spin,mid,mid-iron,6102.0
TaylorMade TP5x,Spin,mid,mid-iron,5797.0
Bridgestone TOUR B RX,Spin,mid,mid-iron,5746.0
Maxfli Tour,Spin,mid,mid-iron,6225.0
Bridgestone TOUR B RXS,Spin,mid,mid-iron,5933.0
Titleist Pro V1x,Spin,mid,mid-iron,6352.0
Srixon Z-STAR XV,Spin,mid,mid-iron,6326.0
Callaway Chrome Tour,Spin,mid,mid-iron,5854.0
Srixon Q-STAR TOUR,Spin,mid,mid-iron,6345.0
Vice Pro Air,Spin,mid,mid-iron,5740.0
Member's Mark Pro Series 2,Spin,mid,mid-iron,5872.0
Srixon Z-STAR DIVIDE,Spin,mid,mid-iron,6378.0
Titleist AVX,Spin,mid,mid-iron,5722.0
Callaway Chrome Soft,Spin,mid,mid-iron,6093.0
Mizuno Pro S,Spin,mid,mid-iron,5661.0
Mizuno Pro X,Spin,mid,mid-iron,5991.0
TaylorMade SpeedSoft,Spin Axis,mid,mid-iron,0.29
Bridgestone TOUR B XS,Spin Axis,mid,mid-iron,-0.02
TaylorMade TP5,Spin Axis,mid,mid-iron,-0.13
Vice Pro,Spin Axis,mid,mid-iron,-0.29
Srixon Q-STAR ULTISPEED,Spin Axis,mid,mid-iron,-0.15
Bridgestone TOUR B X,Spin Axis,mid,mid-iron,0.54
Pinnacle Rush,Spin Axis,mid,mid-iron,0.26
Titleist Velocity,Spin Axis,mid,mid-iron,0.13
TaylorMade Tour Response,Spin Axis,mid,mid-iron,0.4
Wilson Staff Model X,Spin Axis,mid,mid-iron,0.63
Titleist Pro V1,Spin Axis,mid,mid-iron,0.08
Vice Pro Plus,Spin Axis,mid,mid-iron,0.08
Callaway ERC Soft,Spin Axis,mid,mid-iron,-0.3
Srixon SOFT FEEL,Spin Axis,mid,mid-iron,0.0
PXG Xtreme Tour,Spin Axis,mid,mid-iron,-0.11
Callaway Chrome Tour X,Spin Axis,mid,mid-iron,0.26
Callaway Supersoft,Spin Axis,mid,mid-iron,0.24
Titleist TruFeel,Spin Axis,mid,mid-iron,-0.16
Srixon Z-STAR DIAMOND,Spin Axis,mid,mid-iron,0.16
Titleist Tour Soft,Spin Axis,mid,mid-iron,0.37
Srixon Z-STAR,Spin Axis,mid,mid-iron,0.43
Callaway Chrome Tour Triple Diamond,Spin Axis,mid,mid-iron,0.23
Wilson Staff Model,Spin Axis,mid,mid-iron,0.02
Maxfli Tour S,Spin Axis,mid,mid-iron,0.01
Titleist Pro V1x Left Dash,Spin Axis,mid,mid-iron,0.4
Kirkland Performance+ v3.5,Spin Axis,mid,mid-iron,0.53
Wilson Triad,Spin Axis,mid,mid-iron,0.28
PXG Xtreme Tour X,Spin Axis,mid,mid-iron,0.27
Maxfli Tour X,Spin Axis,mid,mid-iron,-0.09
TaylorMade TP5x,Spin Axis,mid,mid-iron,0.06
Bridgestone TOUR B RX,Spin Axis,mid,mid-iron,-0.16
Maxfli Tour,Spin Axis,mid,mid-iron,0.34
Bridgestone TOUR B RXS,Spin Axis,mid,mid-iron,0.0
Titleist Pro V1x,Spin Axis,mid,mid-iron,-0.21
Srixon Z-STAR XV,Spin Axis,mid,mid-iron,0.39
Callaway Chrome Tour,Spin Axis,mid,mid-iron,0.21
Srixon Q-STAR TOUR,Spin Axis,mid,mid-iron,-0.23
Vice Pro Air,Spin Axis,mid,mid-iron,-0.14
Member's Mark Pro Series 2,Spin Axis,mid,mid-iron,-0.01
Srixon Z-STAR DIVIDE,Spin Axis,mid,mid-iron,0.02
Titleist AVX,Spin Axis,mid,mid-iron,0.45
Callaway Chrome Soft,Spin Axis,mid,mid-iron,-0.08
Mizuno Pro S,Spin Axis,mid,mid-iron,0.09
Mizuno Pro X,Spin Axis,mid,mid-iron,-0.34
TaylorMade SpeedSoft,Launch Angle,mid,mid-iron,18.98
Bridgestone TOUR B XS,Launch Angle,mid,mid-iron,18.37
TaylorMade TP5,Launch Angle,mid,mid-iron,18.69
Vice Pro,Launch Angle,mid,mid-iron,18.65
Srixon Q-STAR ULTISPEED,Launch Angle,mid,mid-iron,18.89
Bridgestone TOUR B X,Launch Angle,mid,mid-iron,18.31
Pinnacle Rush,Launch Angle,mid,mid-iron,19.06
Titleist Velocity,Launch Angle,mid,mid-iron,18.65
TaylorMade Tour Response,Launch Angle,mid,mid-iron,19.23
Wilson Staff Model X,Launch Angle,mid,mid-iron,18.17
Titleist Pro V1,Launch Angle,mid,mid-iron,18.5
Vice Pro Plus,Launch Angle,mid,mid-iron,18.73
Callaway ERC Soft,Launch Angle,mid,mid-iron,19.56
Srixon SOFT FEEL,Launch Angle,mid,mid-iron,19.24
PXG Xtreme Tour,Launch Angle,mid,mid-iron,18.67
Callaway Chrome Tour X,Launch Angle,mid,mid-iron,18.31
Callaway Supersoft,Launch Angle,mid,mid-iron,19.93
Titleist TruFeel,Launch Angle,mid,mid-iron,18.94
Srixon Z-STAR DIAMOND,Launch Angle,mid,mid-iron,17.98
Titleist Tour Soft,Launch Angle,mid,mid-iron,18.14
Srixon Z-STAR,Launch Angle,mid,mid-iron,18.35
Callaway Chrome Tour Triple Diamond,Launch Angle,mid,mid-iron,18.34
Wilson Staff Model,Launch Angle,mid,mid-iron,18.28
Maxfli Tour S,Launch Angle,mid,mid-iron,18.84
Titleist Pro V1x Left Dash,Launch Angle,mid,mid-iron,18.5
Kirkland Performance+ v3.5,Launch Angle,mid,mid-iron,18.4
Wilson Triad,Launch Angle,mid,mid-iron,18.63
PXG Xtreme Tour X,Launch Angle,mid,mid-iron,18.5
Maxfli Tour X,Launch Angle,mid,mid-iron,18.52
TaylorMade TP5x,Launch Angle,mid,mid-iron,18.93
Bridgestone TOUR B RX,Launch Angle,mid,mid-iron,18.62
Maxfli Tour,Launch Angle,mid,mid-iron,18.47
Bridgestone TOUR B RXS,Launch Angle,mid,mid-iron,18.71
Titleist Pro V1x,Launch Angle,mid,mid-iron,18.28
Srixon Z-STAR XV,Launch Angle,mid,mid-iron,18.24
Callaway Chrome Tour,Launch Angle,mid,mid-iron,18.62
Srixon Q-STAR TOUR,Launch Angle,mid,mid-iron,18.34
Vice Pro Air,Launch Angle,mid,mid-iron,18.89
Member's Mark Pro Series 2,Launch Angle,mid,mid-iron,18.26
Srixon Z-STAR DIVIDE,Launch Angle,mid,mid-iron,18.23
Titleist AVX,Launch Angle,mid,mid-iron,18.54
Callaway Chrome Soft,Launch Angle,mid,mid-iron,18.34
Mizuno Pro S,Launch Angle,mid,mid-iron,18.57
Mizuno Pro X,Launch Angle,mid,mid-iron,18.3
TaylorMade SpeedSoft,Ball Speed,mid,mid-iron,104.48
Bridgestone TOUR B XS,Ball Speed,mid,mid-iron,105.84
TaylorMade TP5,Ball Speed,mid,mid-iron,105.3
Vice Pro,Ball Speed,mid,mid-iron,106.06
Srixon Q-STAR ULTISPEED,Ball Speed,mid,mid-iron,105.32
Bridgestone TOUR B X,Ball Speed,mid,mid-iron,106.21
Pinnacle Rush,Ball Speed,mid,mid-iron,106.38
Titleist Velocity,Ball Speed,mid,mid-iron,106.44
TaylorMade Tour Response,Ball Speed,mid,mid-iron,106.19
Wilson Staff Model X,Ball Speed,mid,mid-iron,106.73
Titleist Pro V1,Ball Speed,mid,mid-iron,106.49
Vice Pro Plus,Ball Speed,mid,mid-iron,106.2
Callaway ERC Soft,Ball Speed,mid,mid-iron,105.17
Srixon SOFT FEEL,Ball Speed,mid,mid-iron,105.11
PXG Xtreme Tour,Ball Speed,mid,mid-iron,106.09
Callaway Chrome Tour X,Ball Speed,mid,mid-iron,107.34
Callaway Supersoft,Ball Speed,mid,mid-iron,106.58
Titleist TruFeel,Ball Speed,mid,mid-iron,104.5
Srixon Z-STAR DIAMOND,Ball Speed,mid,mid-iron,106.75
Titleist Tour Soft,Ball Speed,mid,mid-iron,105.11
Srixon Z-STAR,Ball Speed,mid,mid-iron,106.52
Callaway Chrome Tour Triple Diamond,Ball Speed,mid,mid-iron,106.73
Wilson Staff Model,Ball Speed,mid,mid-iron,106.32
Maxfli Tour S,Ball Speed,mid,mid-iron,105.76
Titleist Pro V1x Left Dash,Ball Speed,mid,mid-iron,106.12
Kirkland Performance+ v3.5,Ball Speed,mid,mid-iron,106.1
Wilson Triad,Ball Speed,mid,mid-iron,105.42
PXG Xtreme Tour X,Ball Speed,mid,mid-iron,106.41
Maxfli Tour X,Ball Speed,mid,mid-iron,107.01
TaylorMade TP5x,Ball Speed,mid,mid-iron,106.68
Bridgestone TOUR B RX,Ball Speed,mid,mid-iron,105.78
Maxfli Tour,Ball Speed,mid,mid-iron,105.94
Bridgestone TOUR B RXS,Ball Speed,mid,mid-iron,105.34
Titleist Pro V1x,Ball Speed,mid,mid-iron,108.17
Srixon Z-STAR XV,Ball Speed,mid,mid-iron,107.26
Callaway Chrome Tour,Ball Speed,mid,mid-iron,106.65
Srixon Q-STAR TOUR,Ball Speed,mid,mid-iron,106.22
Vice Pro Air,Ball Speed,mid,mid-iron,105.4
Member's Mark Pro Series 2,Ball Speed,mid,mid-iron,106.07
Srixon Z-STAR DIVIDE,Ball Speed,mid,mid-iron,106.1
Titleist AVX,Ball Speed,mid,mid-iron,106.15
Callaway Chrome Soft,Ball Speed,mid,mid-iron,105.93
Mizuno Pro S,Ball Speed,mid,mid-iron,105.3
Mizuno Pro X,Ball Speed,mid,mid-iron,107.42
Srixon SOFT FEEL,Total,fast,mid-iron,195.02
Maxfli Tour S,Total,fast,mid-iron,199.3
Titleist Pro V1x Left Dash,Total,fast,mid-iron,191.67
Callaway Chrome Soft,Total,fast,mid-iron,197.7
Bridgestone TOUR B RXS,Total,fast,mid-iron,198.45
TaylorMade Tour Response,Total,fast,mid-iron,202.76
Pinnacle Rush,Total,fast,mid-iron,192.75
PXG Xtreme Tour X,Total,fast,mid-iron,193.19
Srixon Q-STAR TOUR,Total,fast,mid-iron,192.75
Vice Pro Air,Total,fast,mid-iron,192.67
Titleist TruFeel,Total,fast,mid-iron,194.08
Mizuno Pro S,Total,fast,mid-iron,196.6
Bridgestone TOUR B X,Total,fast,mid-iron,190.35
TaylorMade SpeedSoft,Total,fast,mid-iron,190.91
Srixon Z-STAR XV,Total,fast,mid-iron,194.67
Callaway Chrome Tour X,Total,fast,mid-iron,191.04
Bridgestone TOUR B RX,Total,fast,mid-iron,198.69
Bridgestone TOUR B XS,Total,fast,mid-iron,190.68
Titleist Pro V1x,Total,fast,mid-iron,189.3
Srixon Z-STAR DIAMOND,Total,fast,mid-iron,184.5
Titleist Velocity,Total,fast,mid-iron,188.11
Titleist Tour Soft,Total,fast,mid-iron,187.65
Mizuno Pro X,Total,fast,mid-iron,192.86
Callaway ERC Soft,Total,fast,mid-iron,194.53
Vice Pro,Total,fast,mid-iron,194.74
Srixon Q-STAR ULTISPEED,Total,fast,mid-iron,191.07
TaylorMade TP5x,Total,fast,mid-iron,192.41
Callaway Supersoft,Total,fast,mid-iron,191.12
