ball,metric,speed,club,value
Titleist Pro V1x,Max Height,fast,driver,81.93
Wilson Staff Model,Max Height,fast,driver,83.77
Srixon Z-STAR XV,Max Height,fast,driver,84.37
Vice Pro Plus,Max Height,fast,driver,84.82
Srixon Z-STAR DIAMOND,Max Height,fast,driver,85.82
TaylorMade TP5,Max Height,fast,driver,87.03
Wilson Staff Model X,Max Height,fast,driver,85.33
Member's Mark Pro Series 2,Max Height,fast,driver,88.2
Srixon Z-STAR DIVIDE,Max Height,fast,driver,89.23
Srixon Z-STAR,Max Height,fast,driver,87.63
Srixon SOFT FEEL,Spin,fast,driver,2305.0
Callaway Supersoft,Spin,fast,driver,2115.0
Pinnacle Rush,Spin,fast,driver,2486.0
Titleist TruFeel,Spin,fast,driver,2453.0
TaylorMade SpeedSoft,Spin,fast,driver,2345.0
Srixon Q-STAR ULTISPEED,Spin,fast,driver,2390.0
PXG Xtreme Tour,Spin,fast,driver,2587.0
Maxfli Tour S,Spin,fast,driver,2457.0
Titleist AVX,Spin,fast,driver,2708.0
Callaway ERC Soft,Spin,fast,driver,2392.0
Mizuno Pro X,Spin,fast,driver,2698.0
Callaway Chrome Tour X,Spin,fast,driver,2834.0
Callaway Chrome Tour Triple Diamond,Spin,fast,driver,2630.0
Mizuno Pro S,Spin,fast,driver,2696.0
Titleist Pro V1,Spin,fast,driver,2643.0
Bridgestone TOUR B RXS,Spin,fast,driver,2549.0
Titleist Pro V1x Left Dash,Spin,fast,driver,2572.0
TaylorMade Tour Response,Spin,fast,driver,2407.0
Callaway Chrome Tour,Spin,fast,driver,2727.0
Titleist Velocity,Spin,fast,driver,2442.0
Maxfli Tour,Spin,fast,driver,2676.0
Vice Pro,Spin,fast,driver,2684.0
Vice Pro Air,Spin,fast,driver,2541.0
Wilson Triad,Spin,fast,driver,2711.0
Bridgestone TOUR B RX,Spin,fast,driver,2673.0
Titleist Tour Soft,Spin,fast,driver,2735.0
PXG Xtreme Tour X,Spin,fast,driver,2669.0
Maxfli Tour X,Spin,fast,driver,2565.0
Callaway Chrome Soft,Spin,fast,driver,2633.0
Bridgestone TOUR B XS,Spin,fast,driver,2844.0
Bridgestone TOUR B X,Spin,fast,driver,2892.0
Srixon Q-STAR TOUR,Spin,fast,driver,2627.0
Kirkland Performance+ v3.5,Spin,fast,driver,2658.0
TaylorMade TP5x,Spin,fast,driver,2524.0
Titleist Pro V1x,Spin,fast,driver,2680.0
Wilson Staff Model,Spin,fast,driver,2749.0
Srixon Z-STAR XV,Spin,fast,driver,2766.0
Vice Pro Plus,Spin,fast,driver,2786.0
Srixon Z-STAR DIAMOND,Spin,fast,driver,2958.0
TaylorMade TP5,Spin,fast,driver,2720.0
Wilson Staff Model X,Spin,fast,driver,2873.0
Member's Mark Pro Series 2,Spin,fast,driver,2791.0
